date,amount,currency,vendor,memo
2026-02-01,394.07,USD,GUSTO PAYROLL FEE,INV-57919
2026-02-01,145.86,USD,ZOOM *5604,INV-41295
2026-02-01,322.16,USD,Amtrak,INV-71547
2026-02-01,192.58,USD,UDEMY B4Z00C,INV-10248
2026-02-01,17.13,USD,Uber,
2026-02-01,171.86,USD,VERIZON *7911,
2026-02-02,1469.97,USD,Google Cloud,
2026-02-02,1278.74,USD,FB ADS DENVER CO,INV-32724
03-02-2026,23.49,USD,First Northwest Bank,
2026-02-03,1752.51,USD,GOOGLE CLOUD PORTLAND OR,INV-69478
02/03/2026,1773.83,USD,WE WORK MGMT LLC,INV-26766
2026-02-03,332.45,USD,PUBLICSTORAGE AUSTIN TX,INV-67682
2026-02-03,1935.08,USD,POS DEBIT GOOGLE*SVCS 485AYV,INV-67981
2026-02-04,391.12,USD,LinkedIn,INV-13056
2026-02-04,330.58,USD,STRIPE FEE 7CT95Q,
2026-02-04,586.50,USD,Meta Platforms,
04 Feb 2026,51.09,USD,Amtrak,INV-37352
2026-02-04,284.91,USD,Public Storage,INV-75851
2026-02-05,96.96,USD,GitHub,
2026-02-05,145.82,USD,CITY WATER DEPT,INV-53930
2026-02-05,217.45,USD,AMTRAK 3DP7GP,INV-93620
2026-02-05,107.19,USD,AMTRAK .COM ATLANTA GA,INV-44709
05-02-2026,111.36,USD,E-ZPass,INV-49354
2026-02-05,799.34,CAD,AMAZON WEB SERVICES 1133VX,INV-98901
2026-02-05,455.93,USD,VERCEL *PRO  ,
2026-02-05,1164.83,USD,FACEBK *G11SK0,INV-74809
2026-02-06,134.39,USD,Notion Labs Inc,
06 Feb 2026,305.98,USD,GUSTO PAYROLL FEE,INV-97678
2026-02-06,1920.13,USD,QUILL ACCTG SVCS,INV-38419
07-02-2026,93.17,USD,VERCEL.COM,INV-59460
02/07/2026,113.45,USD,HISCOX PREMIUM,INV-24686
2026-02-07,83.71,USD,Notion Labs,
2026-02-07,1382.25,USD,POS DEBIT DELL 8055,INV-15496
2026-02-07,315.54,USD,Hiscox Insurance,INV-73297
2026-02-07,765.76,USD,CON EDISON 517ZG4,
2026-02-07,11.15,USD,First Northwest Bank,INV-85162
2026-02-08,445.42,USD,FIGMA MONTHLY CD65PG,INV-27791
2026-02-08,329.23,USD,BRIGHTLINE CLNG BOSTON MA,INV-67058
2026-02-08,157.24,USD,MSFT *GITHUB,INV-39685
2026-02-08,1896.07,USD,WE WORK MGMT LLC,INV-49022
2026-02-08,374.55,USD,COMCAST BUSINESS BOSTON MA,
2026-02-08,41.22,USD,MONTHLY SERVICE CHARGE,INV-28634
02/08/26,92.74,USD,E-ZPASS NY 7MLC4Q,INV-88629
2026-02-09,3501.06,USD,Amazon Web Services,INV-26183
2026-02-09,582.97,USD,LINKEDIN *UD9M8U,
2026-02-09,78.85,USD,FIGMA MONTHLY W83QPE,INV-55064
2026-02-09,621.50,USD,Brightline Cleaning,INV-67529
