date,amount,currency,vendor,memo
2026-04-02,150.22,USD,CONED BILL PAY,INV-80176
2026-04-03,180.53,USD,COSTCO WHSE #1990,INV-82098
2026-04-03,267.16,USD,MICROSOFT #GX10VW2,INV-18268
2026-04-03,267.16,USD,MICROSOFT #GX10VW2,INV-18268
2026-04-03,332.49,USD,CLOUDFLARE *6Q9PUS,INV-67990
2026-04-09,396.07,USD,SQ *BRIGHTLINE CLEAN,
2026-04-12,98.91,GBP,LYFT DENVER CO,
2026-04-12,272.62,USD,CLOUDFLARE INC BOSTON MA,INV-48181
2026-04-15,201.18,USD,CLOUDFLARE *PRO,INV-48181
2026-04-16,3578.09,USD,AWS EMEA 19549N,INV-42447
2026-04-21,126.45,USD,Zoom,INV-33086
2026-04-21,122.01,USD,GITHUB.COM U7UBJ0,INV-43872
2026-04-22,540.44,USD,HISCOX PREMIUM,INV-72641
2026-04-22,676.75,USD,BEST BUY #416,
2026-04-24,57.07,USD,Cloudflare,INV-48952
2026-04-26,613.50,USD,VERCEL.COM,INV-20881
2026-04-26,75.47,USD,ZOOM.US 6930G8,
2026-04-30,48.97,USD,Amtrak,INV-31724
